"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"81","City of West Covina",433,400,378,8,7,7,4481,4140,4006,108235
"82","City of West Hollywood",188,509,393,4,11,7,3680,9959,8257,36951
"83","City of Westlake Village",6,72,45,0,0,0,94,1124,1091,8360
"84","City of Whittier",373,427,412,10,11,11,3255,3723,3672,87432
"85","Los Angeles - Adams-Normandie",56,683,675,3,37,38,451,5499,5380,8202
"86","Los Angeles - Alsace",58,466,452,0,0,0,645,5183,5068,12445
"87","Los Angeles - Angelino Heights",18,719,614,0,0,0,219,8753,8122,2502
"88","Los Angeles - Arleta",296,861,834,5,15,15,2695,7841,7634,34370
"89","Los Angeles - Atwater Village",52,355,346,2,14,11,1167,7957,7703,14666
"90","Los Angeles - Baldwin Hills",181,582,537,15,48,39,2432,7814,7452,31125
"91","Los Angeles - Bel Air",38,451,440,0,0,0,706,8376,8430,8429
"92","Los Angeles - Beverly Crest",37,295,300,2,16,9,867,6922,7097,12525
"93","Los Angeles - Beverlywood",37,281,269,0,0,0,1044,7925,8207,13173
"94","Los Angeles - Boyle Heights",888,1022,1027,15,17,20,5254,6047,6044,86884
"95","Los Angeles - Brentwood",85,275,249,2,6,4,2783,8990,8175,30955
"96","Los Angeles - Cadillac-Corning",34,477,504,1,14,27,385,5407,5226,7121
"97","Los Angeles - Canoga Park",548,839,845,27,41,53,4756,7285,7223,65289
"98","Los Angeles - Carthay",89,620,622,8,56,23,1649,11481,13647,14363
"99","Los Angeles - Central",514,1318,1391,16,41,58,2438,6253,6632,38992
